,unit,Solar inverter,Heat pump
unit,str,kW,kW
optimizeCap,bool,True,True
maximumCap,None or float,None,None
installedCap,kW,0,0
age_installed,year,0,0
lifetime,year,10,12
development_costs,currency,0,0
specific_costs,currency/kW,100,450
specific_costs_om,currency/kW/year,4,42.5
dispatch_price,currency/kWh,0,0
efficiency,factor,0.95,"{'file_name': 'None', 'header': 'no_unit', 'unit': ''}"
inflow_direction,str,PV bus,Electricity bus
outflow_direction,str,Electricity bus,Heat bus
energyVector,str,Electricity,Heat
type_oemof,str,transformer,transformer
