Gas consumption of space heating for residential;;;;;;
;ISO code;Unit;2011;2012;2013;2014
Belgium;BE;Mtoe;2.52;2.80;3.12;-
Bulgaria;BG;Mtoe;0.04;0.04;0.03;-
Croatia;HR;Mtoe;0.46;0.43;0.41;-
Cyprus;CY;Mtoe;-;-;-;-
Czech Republic;CZ;Mtoe;1.64;1.66;1.67;-
Denmark;DK;Mtoe;0.54;0.54;0.54;0.46
Estonia;EE;Mtoe;0.03;0.04;0.03;-
Finland;FI;Mtoe;0.02;0.03;0.02;-
France;FR;Mtoe;9.12;10.64;10.69;-
Germany;DE;Mtoe;15.57;17.32;18.04;-
Greece;EL;Mtoe;0.30;0.27;0.20;-
Hungary;HU;Mtoe;2.22;2.03;1.88;-
Ireland;IE;Mtoe;0.43;0.46;0.47;-
Italy;IT;Mtoe;14.83;14.98;14.88;-
Latvia;LV;Mtoe;0.06;0.05;0.05;-
Lithuania;LT;Mtoe;0.07;0.06;0.06;-
Luxembourg;LU;Mtoe;0.18;0.16;0.17;-
Malta;MT;Mtoe;-;-;-;-
Netherlands;NL;Mtoe;6.23;6.75;7.17;-
Poland;PL;Mtoe;1.46;1.52;1.54;-
Portugal;PT;Mtoe;0.01;0.01;0.01;-
Romania;RO;Mtoe;0.70;0.82;0.79;-
Slovakia;SK;Mtoe;0.93;0.86;0.91;-
Slovenia;SI;Mtoe;0.09;0.09;0.09;-
Spain;ES;Mtoe;1.68;1.73;1.57;-
Sweden;SE;Mtoe;0.05;0.04;0.03;-
United Kingdom;UK;Mtoe;16.86;20.64;20.46;-
EU28;EU-28;Mtoe;78.01;86.35;87.25;-
