,unit,solar_inverter_01,heat_pump
label,str,Solar inverter (mono),Heat pump
unit,str,kW,kW
optimizeCap,bool,True,True
maximumCap,None or float,None,None
installedCap,kW,0,0
age_installed,year,0,0
lifetime,year,15,15
development_costs,currency,0,0
specific_costs,currency/kW,230,7000
specific_costs_om,currency/kW/year,6,0
dispatch_price,currency/kWh,0,0
efficiency,factor,0.95,"{'file_name': 'cops_heat_pump_2014_45.641603_5.875387.csv', 'header': 'no_unit', 'unit': ''}"
inflow_direction,str,PV bus,Electricity
outflow_direction,str,Electricity,Heat
energyVector,str,Electricity,Electricity
type_oemof,str,transformer,transformer
